activity subject variable value
1 14 average_standard_deviation_Y -0.053612669
1 15 average_standard_deviation_Y  0.138912924
1 16 average_standard_deviation_Y -0.314569762
1 17 average_standard_deviation_Y -0.017579789
1 18 average_standard_deviation_Y -0.227005875
1 19 average_standard_deviation_Y  0.181801561
1 20 average_standard_deviation_Y  0.489771809
1 21 average_standard_deviation_Y  0.054088051
1 22 average_standard_deviation_Y  0.100384246
1 23 average_standard_deviation_Y -0.119020587
1 24 average_standard_deviation_Y -0.154127498
1 25 average_standard_deviation_Y -0.161852412
1 26 average_standard_deviation_Y -0.136351392
1 27 average_standard_deviation_Y -0.187301215
1 28 average_standard_deviation_Y -0.117886186
1 29 average_standard_deviation_Y -0.091754061
1 30 average_standard_deviation_Y -0.173550022
2  1 average_standard_deviation_Y -0.002320265
2  2 average_standard_deviation_Y  0.108027280
2  3 average_standard_deviation_Y  0.011628081
2  4 average_standard_deviation_Y -0.066689911
2  5 average_standard_deviation_Y  0.185022459
2  6 average_standard_deviation_Y  0.189276117
2  7 average_standard_deviation_Y -0.326160023
2  8 average_standard_deviation_Y  0.348768733
2  9 average_standard_deviation_Y -0.302206204
2 10 average_standard_deviation_Y -0.005552877
2 11 average_standard_deviation_Y -0.103167502
2 12 average_standard_deviation_Y -0.103818260
2 13 average_standard_deviation_Y  0.104470774
2 14 average_standard_deviation_Y  0.307195533
2 15 average_standard_deviation_Y -0.004065360
2 16 average_standard_deviation_Y -0.163732745
2 17 average_standard_deviation_Y -0.013172101
2 18 average_standard_deviation_Y -0.211155120
2 19 average_standard_deviation_Y  0.176349923
2 20 average_standard_deviation_Y  0.152196328
2 21 average_standard_deviation_Y  0.109787469
2 22 average_standard_deviation_Y  0.250067524
2 23 average_standard_deviation_Y  0.044843579
2 24 average_standard_deviation_Y -0.116804489
2 25 average_standard_deviation_Y -0.223086809
2 26 average_standard_deviation_Y -0.049172630
2 27 average_standard_deviation_Y -0.095010408
2 28 average_standard_deviation_Y -0.146753877
2 29 average_standard_deviation_Y -0.122128288
2 30 average_standard_deviation_Y -0.127311158
3  1 average_standard_deviation_Y -0.031935943
3  2 average_standard_deviation_Y  0.262881789
3  3 average_standard_deviation_Y -0.033150372
3  4 average_standard_deviation_Y -0.218598325
3  5 average_standard_deviation_Y  0.090763076
3  6 average_standard_deviation_Y  0.360164959
3  7 average_standard_deviation_Y -0.138179073
3  8 average_standard_deviation_Y  0.343826273
3  9 average_standard_deviation_Y -0.208310706
3 10 average_standard_deviation_Y  0.004079154
3 11 average_standard_deviation_Y  0.070812273
3 12 average_standard_deviation_Y  0.110835344
3 13 average_standard_deviation_Y -0.032125247
3 14 average_standard_deviation_Y  0.378870492
3 15 average_standard_deviation_Y  0.186532377
3 16 average_standard_deviation_Y -0.146993838
3 17 average_standard_deviation_Y -0.060789204
3 18 average_standard_deviation_Y -0.254214046
3 19 average_standard_deviation_Y  0.514816446
3 20 average_standard_deviation_Y  0.616937015
3 21 average_standard_deviation_Y  0.301336400
3 22 average_standard_deviation_Y  0.239812251
3 23 average_standard_deviation_Y  0.108259034
3 24 average_standard_deviation_Y -0.102607327
3 25 average_standard_deviation_Y -0.140540604
3 26 average_standard_deviation_Y -0.011629910
3 27 average_standard_deviation_Y -0.097971003
3 28 average_standard_deviation_Y  0.156496647
3 29 average_standard_deviation_Y -0.122463467
3 30 average_standard_deviation_Y -0.027262808
4  1 average_standard_deviation_Y -0.922618642
4  2 average_standard_deviation_Y -0.950704499
4  3 average_standard_deviation_Y -0.856617812
4  4 average_standard_deviation_Y -0.890223981
4  5 average_standard_deviation_Y -0.904335121
4  6 average_standard_deviation_Y -0.923682131
4  7 average_standard_deviation_Y -0.909454699
4  8 average_standard_deviation_Y -0.927331997
4  9 average_standard_deviation_Y -0.875141405
4 10 average_standard_deviation_Y -0.917979530
4 11 average_standard_deviation_Y -0.921402118
4 12 average_standard_deviation_Y -0.928581240
4 13 average_standard_deviation_Y -0.938967742
4 14 average_standard_deviation_Y -0.914935704
4 15 average_standard_deviation_Y -0.922407163
4 16 average_standard_deviation_Y -0.951607872
4 17 average_standard_deviation_Y -0.961858630
4 18 average_standard_deviation_Y -0.974928131
4 19 average_standard_deviation_Y -0.950388944
4 20 average_standard_deviation_Y -0.936122705
4 21 average_standard_deviation_Y -0.966877561
4 22 average_standard_deviation_Y -0.928059134
4 23 average_standard_deviation_Y -0.934933559
4 24 average_standard_deviation_Y -0.956255962
4 25 average_standard_deviation_Y -0.947457617
4 26 average_standard_deviation_Y -0.940798966
4 27 average_standard_deviation_Y -0.971579126
4 28 average_standard_deviation_Y -0.939905245
4 29 average_standard_deviation_Y -0.963222498
4 30 average_standard_deviation_Y -0.937857001
5  1 average_standard_deviation_Y -0.973190056
5  2 average_standard_deviation_Y -0.957304989
5  3 average_standard_deviation_Y -0.893449307
5  4 average_standard_deviation_Y -0.861597379
5  5 average_standard_deviation_Y -0.869439913
5  6 average_standard_deviation_Y -0.921493192
5  7 average_standard_deviation_Y -0.923400922
5  8 average_standard_deviation_Y -0.938479429
5  9 average_standard_deviation_Y -0.938635759
5 10 average_standard_deviation_Y -0.919561843
5 11 average_standard_deviation_Y -0.964173332
5 12 average_standard_deviation_Y -0.923140254
5 13 average_standard_deviation_Y -0.949422439
5 14 average_standard_deviation_Y -0.928525725
5 15 average_standard_deviation_Y -0.931900148
5 16 average_standard_deviation_Y -0.960298268
5 17 average_standard_deviation_Y -0.968176664
5 18 average_standard_deviation_Y -0.954223436
5 19 average_standard_deviation_Y -0.944430271
5 20 average_standard_deviation_Y -0.875410411
5 21 average_standard_deviation_Y -0.943601625
5 22 average_standard_deviation_Y -0.922693288
5 23 average_standard_deviation_Y -0.958444492
5 24 average_standard_deviation_Y -0.936871974
5 25 average_standard_deviation_Y -0.954569226
5 26 average_standard_deviation_Y -0.949466155
5 27 average_standard_deviation_Y -0.955171419
5 28 average_standard_deviation_Y -0.875689217
5 29 average_standard_deviation_Y -0.969295721
5 30 average_standard_deviation_Y -0.891654527
6  1 average_standard_deviation_Y -0.836827406
6  2 average_standard_deviation_Y -0.980277399
6  3 average_standard_deviation_Y -0.962057545
6  4 average_standard_deviation_Y -0.941714042
6  5 average_standard_deviation_Y -0.969295613
6  6 average_standard_deviation_Y -0.924644826
6  7 average_standard_deviation_Y -0.926262669
6  8 average_standard_deviation_Y -0.934891160
6  9 average_standard_deviation_Y -0.916292776
6 10 average_standard_deviation_Y -0.946454302
6 11 average_standard_deviation_Y -0.972196874
6 12 average_standard_deviation_Y -0.949072009
6 13 average_standard_deviation_Y -0.950947950
6 14 average_standard_deviation_Y -0.909697041
6 15 average_standard_deviation_Y -0.962759422
6 16 average_standard_deviation_Y -0.943061150
6 17 average_standard_deviation_Y -0.944792875
6 18 average_standard_deviation_Y -0.986160921
6 19 average_standard_deviation_Y -0.973449969
6 20 average_standard_deviation_Y -0.964098180
6 21 average_standard_deviation_Y -0.956959422
6 22 average_standard_deviation_Y -0.913276302
6 23 average_standard_deviation_Y -0.976309827
6 24 average_standard_deviation_Y -0.983126462
6 25 average_standard_deviation_Y -0.691770681
6 26 average_standard_deviation_Y -0.983231352
6 27 average_standard_deviation_Y -0.983736044
6 28 average_standard_deviation_Y -0.945386780
6 29 average_standard_deviation_Y -0.990240947
6 30 average_standard_deviation_Y -0.954201824
1  1 average_standard_deviation_Z -0.260027902
1  2 average_standard_deviation_Z -0.425257525
1  3 average_standard_deviation_Z -0.387411994
1  4 average_standard_deviation_Z -0.586252807
1  5 average_standard_deviation_Z -0.457021436
1  6 average_standard_deviation_Z -0.504324207
1  7 average_standard_deviation_Z  0.159631283
1  8 average_standard_deviation_Z -0.142088532
1  9 average_standard_deviation_Z -0.057963647
1 10 average_standard_deviation_Z -0.395645072
1 11 average_standard_deviation_Z -0.530626311
1 12 average_standard_deviation_Z -0.410606063
1 13 average_standard_deviation_Z -0.220503537
1 14 average_standard_deviation_Z  0.051884104
1 15 average_standard_deviation_Z -0.518932635
1 16 average_standard_deviation_Z -0.159799790
1 17 average_standard_deviation_Z -0.265824489
1 18 average_standard_deviation_Z -0.428348061
1 19 average_standard_deviation_Z -0.139477942
1 20 average_standard_deviation_Z -0.228734217
1 21 average_standard_deviation_Z -0.168688726
1 22 average_standard_deviation_Z -0.213351969
1 23 average_standard_deviation_Z  0.164220685
1 24 average_standard_deviation_Z -0.288840016
1 25 average_standard_deviation_Z -0.437133403
1 26 average_standard_deviation_Z -0.333486503
1 27 average_standard_deviation_Z -0.297318274
1 28 average_standard_deviation_Z -0.300928396
1 29 average_standard_deviation_Z -0.242828038
1 30 average_standard_deviation_Z -0.120476784
2  1 average_standard_deviation_Z -0.019479239
2  2 average_standard_deviation_Z -0.112121021
2  3 average_standard_deviation_Z -0.369754604
2  4 average_standard_deviation_Z -0.372137778
2  5 average_standard_deviation_Z -0.308938979
2  6 average_standard_deviation_Z -0.353519515
2  7 average_standard_deviation_Z -0.145665026
2  8 average_standard_deviation_Z  0.121187279
2  9 average_standard_deviation_Z -0.253434084
2 10 average_standard_deviation_Z -0.073874493
2 11 average_standard_deviation_Z -0.203369399
2 12 average_standard_deviation_Z -0.436697426
2 13 average_standard_deviation_Z -0.217210568
2 14 average_standard_deviation_Z  0.609017879
2 15 average_standard_deviation_Z -0.379717488
2 16 average_standard_deviation_Z -0.129283826
2 17 average_standard_deviation_Z -0.230220954
2 18 average_standard_deviation_Z -0.314373391
2 19 average_standard_deviation_Z -0.190468550
2 20 average_standard_deviation_Z -0.229249455
2 21 average_standard_deviation_Z -0.219707929
2 22 average_standard_deviation_Z -0.109613216
2 23 average_standard_deviation_Z  0.100801189
2 24 average_standard_deviation_Z -0.255601013
2 25 average_standard_deviation_Z -0.296523975
2 26 average_standard_deviation_Z -0.404596937
2 27 average_standard_deviation_Z -0.230707877
2 28 average_standard_deviation_Z -0.285986914
2 29 average_standard_deviation_Z  0.099544350
2 30 average_standard_deviation_Z  0.024946803
3  1 average_standard_deviation_Z -0.230434213
3  2 average_standard_deviation_Z -0.102837908
3  3 average_standard_deviation_Z -0.362240245
3  4 average_standard_deviation_Z -0.479185977
3  5 average_standard_deviation_Z -0.325891435
3  6 average_standard_deviation_Z -0.320204233
3  7 average_standard_deviation_Z -0.063640245
3  8 average_standard_deviation_Z  0.133717039
3  9 average_standard_deviation_Z -0.007715300
3 10 average_standard_deviation_Z -0.183557562
3 11 average_standard_deviation_Z -0.324026938
3 12 average_standard_deviation_Z -0.425017413
3 13 average_standard_deviation_Z -0.158333146
3 14 average_standard_deviation_Z  0.451576075
3 15 average_standard_deviation_Z -0.281982182
3 16 average_standard_deviation_Z  0.011435394
3 17 average_standard_deviation_Z -0.231064157
3 18 average_standard_deviation_Z -0.418610127
3 19 average_standard_deviation_Z  0.049322451
3 20 average_standard_deviation_Z -0.160938536
3 21 average_standard_deviation_Z -0.071789356
3 22 average_standard_deviation_Z -0.325722718
3 23 average_standard_deviation_Z  0.229898743
3 24 average_standard_deviation_Z -0.205566381
3 25 average_standard_deviation_Z -0.457972382
3 26 average_standard_deviation_Z -0.284807676
3 27 average_standard_deviation_Z -0.240040783
3 28 average_standard_deviation_Z -0.341031812
3 29 average_standard_deviation_Z -0.223178000
3 30 average_standard_deviation_Z -0.217275690
4  1 average_standard_deviation_Z -0.939586291
4  2 average_standard_deviation_Z -0.959828172
4  3 average_standard_deviation_Z -0.875110175
4  4 average_standard_deviation_Z -0.932203007
4  5 average_standard_deviation_Z -0.926094740
4  6 average_standard_deviation_Z -0.925797097
4  7 average_standard_deviation_Z -0.856532941
4  8 average_standard_deviation_Z -0.939553030
4  9 average_standard_deviation_Z -0.832001873
4 10 average_standard_deviation_Z -0.967826982
4 11 average_standard_deviation_Z -0.968370182
4 12 average_standard_deviation_Z -0.939661889
4 13 average_standard_deviation_Z -0.938641216
4 14 average_standard_deviation_Z -0.922774836
4 15 average_standard_deviation_Z -0.949338025
4 16 average_standard_deviation_Z -0.939672247
4 17 average_standard_deviation_Z -0.965729196
4 18 average_standard_deviation_Z -0.977572717
4 19 average_standard_deviation_Z -0.951929615
4 20 average_standard_deviation_Z -0.929106397
4 21 average_standard_deviation_Z -0.959567862
4 22 average_standard_deviation_Z -0.917564854
4 23 average_standard_deviation_Z -0.905584390
4 24 average_standard_deviation_Z -0.957056111
4 25 average_standard_deviation_Z -0.965139552
4 26 average_standard_deviation_Z -0.950004414
4 27 average_standard_deviation_Z -0.965858735
4 28 average_standard_deviation_Z -0.936667246
4 29 average_standard_deviation_Z -0.968063878
4 30 average_standard_deviation_Z -0.950654041
5  1 average_standard_deviation_Z -0.979775877
5  2 average_standard_deviation_Z -0.949741851
5  3 average_standard_deviation_Z -0.911419015
5  4 average_standard_deviation_Z -0.896880538
5  5 average_standard_deviation_Z -0.869327322
5  6 average_standard_deviation_Z -0.925692372
5  7 average_standard_deviation_Z -0.917064168
5  8 average_standard_deviation_Z -0.926065255
5  9 average_standard_deviation_Z -0.919295806
5 10 average_standard_deviation_Z -0.941271440
5 11 average_standard_deviation_Z -0.986382713
5 12 average_standard_deviation_Z -0.920684800
5 13 average_standard_deviation_Z -0.967538032
5 14 average_standard_deviation_Z -0.922276312
5 15 average_standard_deviation_Z -0.951670258
5 16 average_standard_deviation_Z -0.953468962
5 17 average_standard_deviation_Z -0.970462679
5 18 average_standard_deviation_Z -0.961873909
5 19 average_standard_deviation_Z -0.952599654
5 20 average_standard_deviation_Z -0.913142482
5 21 average_standard_deviation_Z -0.946123407
5 22 average_standard_deviation_Z -0.942201655
5 23 average_standard_deviation_Z -0.929409745
5 24 average_standard_deviation_Z -0.930283530
5 25 average_standard_deviation_Z -0.964642688
5 26 average_standard_deviation_Z -0.962988401
5 27 average_standard_deviation_Z -0.962408445
5 28 average_standard_deviation_Z -0.905123824
5 29 average_standard_deviation_Z -0.980207489
5 30 average_standard_deviation_Z -0.912850597
6  1 average_standard_deviation_Z -0.826061402
6  2 average_standard_deviation_Z -0.984233297
6  3 average_standard_deviation_Z -0.963691035
6  4 average_standard_deviation_Z -0.962667315
6  5 average_standard_deviation_Z -0.968562516
6  6 average_standard_deviation_Z -0.925216100
6  7 average_standard_deviation_Z -0.952978366
6  8 average_standard_deviation_Z -0.932491454
6  9 average_standard_deviation_Z -0.940707285
6 10 average_standard_deviation_Z -0.959471486
6 11 average_standard_deviation_Z -0.971311177
6 12 average_standard_deviation_Z -0.948333844
6 13 average_standard_deviation_Z -0.950392995
6 14 average_standard_deviation_Z -0.900331922
6 15 average_standard_deviation_Z -0.929586835
6 16 average_standard_deviation_Z -0.965490276
6 17 average_standard_deviation_Z -0.953476700
6 18 average_standard_deviation_Z -0.987658662
6 19 average_standard_deviation_Z -0.984672837
6 20 average_standard_deviation_Z -0.972571998
6 21 average_standard_deviation_Z -0.945653788
6 22 average_standard_deviation_Z -0.942945808
6 23 average_standard_deviation_Z -0.973223495
6 24 average_standard_deviation_Z -0.973566959
6 25 average_standard_deviation_Z -0.717262004
6 26 average_standard_deviation_Z -0.984500013
6 27 average_standard_deviation_Z -0.986636996
6 28 average_standard_deviation_Z -0.956450343
6 29 average_standard_deviation_Z -0.987255150
6 30 average_standard_deviation_Z -0.967044236
